it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
MINDTREE	EQ	489.9	516.6	486.4	510.15	512.65	486.2	1326200	6.749785954E8	2016-12-28	29970	INE018I01017
TATAELXSI	EQ	1332.5	1373.8	1332.5	1352.3	1358.0	1330.1	472787	6.405859682E8	2016-12-28	17958	INE670A01012
TCS	EQ	2326.7	2349.9	2303.15	2313.4	2305.25	2323.4	675209	1.5771939339E9	2016-12-28	65267	INE467B01029
TECHM	EQ	469.0	477.0	469.0	474.15	474.55	468.2	1658315	7.873341595E8	2016-12-28	34299	INE669C01036
WIPRO	EQ	466.0	475.45	465.05	469.35	469.2	465.2	1191369	5.620973537E8	2016-12-28	27266	INE075A01022
HCLTECH	EQ	748.0	748.0	732.2	738.4	738.3	748.35	1867820	1.3799676965E9	2016-07-05	44635	INE860A01027
INFY	EQ	1185.0	1187.5	1171.05	1175.45	1174.0	1183.95	1798208	2.11608401795E9	2016-07-05	61330	INE009A01021
TCS	EQ	2494.2	2497.05	2477.15	2485.3	2480.2	2494.2	779874	1.93871744215E9	2016-07-05	41404	INE467B01029
TECHM	EQ	516.8	519.0	513.05	515.25	514.15	519.1	456205	2.3504635255E8	2016-07-05	11541	INE669C01036
WIPRO	EQ	561.65	569.0	556.05	564.95	563.45	561.7	905901	5.099486434E8	2016-07-05	15474	INE075A01022
HCLTECH	EQ	807.0	815.0	799.7	808.75	813.9	811.05	809816	6.5267634735E8	2016-02-25	30309	INE860A01027
INFY	EQ	1125.4	1130.6	1101.1	1110.3	1115.9	1125.35	2242264	2.49370976125E9	2016-02-25	102958	INE009A01021
MINDTREE	EQ	1426.0	1460.0	1408.0	1435.75	1460.0	1425.7	417946	5.963066118E8	2016-02-25	25001	INE018I01017
TATAELXSI	EQ	1791.5	1817.1	1753.0	1770.45	1778.15	1784.75	562798	1.0008722441E9	2016-02-25	29944	INE670A01012
TCS	EQ	2219.8	2228.0	2185.65	2212.85	2224.2	2210.95	915278	2.0180489881E9	2016-02-25	45678	INE467B01029
TECHM	EQ	421.9	423.8	411.0	416.3	416.5	422.05	2406282	9.9893503785E8	2016-02-25	41144	INE669C01036
WIPRO	EQ	534.4	538.75	522.1	533.85	538.0	533.95	959822	5.0697809805E8	2016-02-25	23657	INE075A01022
HCLTECH	EQ	722.2	724.7	715.0	722.5	723.7	717.5	928673	6.705451545E8	2016-07-18	25153	INE860A01027
INFY	EQ	1077.25	1084.9	1055.15	1081.95	1081.0	1072.55	7166412	7.68236181205E9	2016-07-18	240953	INE009A01021
MINDTREE	EQ	632.3	634.55	611.0	614.2	614.0	637.25	1965175	1.21586347035E9	2016-07-18	48675	INE018I01017
TATAELXSI	EQ	1630.1	1666.0	1595.0	1651.25	1646.45	1628.85	507245	8.3168913195E8	2016-07-18	21163	INE670A01012
TCS	EQ	2447.0	2469.0	2430.6	2433.45	2431.15	2445.35	1299425	3.17664179485E9	2016-07-18	66016	INE467B01029
TECHM	EQ	505.1	509.9	503.0	506.6	505.2	504.05	1132642	5.7304543875E8	2016-07-18	41538	INE669C01036
WIPRO	EQ	553.5	553.95	544.8	551.95	550.95	554.5	1647148	9.046303882E8	2016-07-18	36708	INE075A01022
